Date,Infrastructure_Machineries,Daily_Sales _Percentage,Daily_Sales_Quantity,Market_Share,Political,Marketing,Budget,Region,Year,Month,Day,DayOfWeek,Machinery_Code,Region_Code
2019-01-01,Excavators(crawler),0.034463806,80,35,1,1,5000.56,North Ryanstad,2019,1,1,1,2,1196
2019-01-01,Loaders (Wheeled),0.034463806,70,35,1,1,5000.56,South Christophermouth,2019,1,1,1,3,1553
2019-01-01,Skid Steer Loaders,0.034463806,70,35,1,1,5000.56,Juliashire,2019,1,1,1,4,583
2019-01-01,Compactors,0.034463806,68,35,1,1,5000.56,Davidberg,2019,1,1,1,1,197
2019-01-01,Tele Handlers ,0.034463806,61,35,1,1,5000.56,West Brandonburgh,2019,1,1,1,5,1799
2019-01-02,Backhoe Loader,0.038629891,51,35,1,1,5000.56,New Jamie,2019,1,2,2,0,977
2019-01-02,Excavators(crawler),0.038629891,68,35,1,1,5000.56,Stevenshire,2019,1,2,2,2,1680
2019-01-02,Loaders (Wheeled),0.038629891,85,35,1,1,5000.56,North Jacquelineville,2019,1,2,2,3,1127
2019-01-02,Skid Steer Loaders,0.038629891,64,35,1,1,5000.56,South Justinstad,2019,1,2,2,4,1604
2019-01-02,Tele Handlers ,0.038629891,79,35,1,1,5000.56,Rodneychester,2019,1,2,2,5,1443
2019-01-03,Backhoe Loader,0.025637758,62,35,1,1,5000.56,Port Katelyn,2019,1,3,3,0,1319
2019-01-03,Excavators(crawler),0.025637758,85,35,1,1,5000.56,East Sabrinaland,2019,1,3,3,2,339
2019-01-03,Loaders (Wheeled),0.025637758,53,35,1,1,5000.56,Fieldsborough,2019,1,3,3,3,383
2019-01-03,invalid_data,0.025637758,62,35,1,1,5000.56,Kennedyton,2019,1,3,3,6,609
2019-01-03,Compactors,0.025637758,58,35,1,1,5000.56,Grahamfurt,2019,1,3,3,1,420
2019-01-03,Tele Handlers ,0.025637758,66,35,1,1,5000.56,North Rogerstad,2019,1,3,3,5,1194
2019-01-04,Backhoe Loader,0.028812108,3562,35000,1,1,5000.56,Hernandezchester,2019,1,4,4,0,452
2019-01-04,Excavators(crawler),0.028812108,80,35,1,1,5000.56,West Amanda,2019,1,4,4,2,1785
2019-01-04,Skid Steer Loaders,0.028812108,60,35,1,1,5000.56,Roberthaven,2019,1,4,4,4,1436
